firm_id,index_date,index_year,split,event_1m,days_to_event_1m,event_5m,days_to_event_5m,event_10m,days_to_event_10m,censoring_horizon_days,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,phase1_to_phase2_days,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,n_trl_observations,trl_mean_pre,trl_volatility,trl_max_pre,trl_min_pre,trl_first_grant,trl_at_index,trl_delta,trl_velocity_per_year,trl_span_days,has_embedding,amt_bucket,trl_delta_bin,is_troll,vc_AdTech,vc_AgriTech,vc_Artificial_Intelligence,vc_B2B_SaaS,vc_BioTech,vc_Blue_Economy_and_OceanTech,vc_CleanTech,vc_ClimateTech,vc_Cloud_Infrastructure,vc_Creator_Economy,vc_Cybersecurity,vc_DeepTech,vc_ESG_Technology,vc_EdTech,vc_ElderTech,vc_FinTech,vc_FoodTech,vc_Frontier_and_Dual_Use_Tech,vc_Gaming_and_eSports,vc_GovTech,vc_HRTech,vc_HealthTech,vc_IndustrialTech,vc_InsurTech,vc_LegalTech,vc_MarTech,vc_MedTech,vc_Media_and_Entertainment_Tech,vc_Mobility_and_Transportation_Tech,vc_NeuroTech,vc_PetTech,vc_PropTech,vc_Smart_Cities_and_Urban_Innovation,vc_SpaceTech,vc_SportsTech
firm_00040,2008-12-16,2010,train,0,6364,0,6364,0,6364,6364,5,1533730.0,750000.0,1750,3,4,3,1750.0,1,0,0,0,0,0,CA,5.0,4.0,1.0,5.0,3.0,3.0,5.0,2.0,0.4174285714285714,1750.0,True,1.5M-3M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368506,0.0,0.0,0.0,0.0,0.0,0.3410729,0.0,0.0,0.0,0.0,0.3278036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00043,2009-12-17,2010,train,0,5998,0,5998,0,5998,5998,183,59479241.0,1359930.0,2272,9,7,117,2272.0,1,0,0,0,1,0,AL,183.0,3.628415300546448,1.0290618805739145,7.0,2.0,4.0,4.0,0.0,0.0,2272.0,True,>6M,flat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31454733,0.0,0.0,0.0,0.0,0.0,0.45562267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32075438,0.0
firm_00044,2009-12-09,2010,train,0,6006,0,6006,0,6006,6006,190,61361581.0,2338000.0,2207,8,7,131,2154.0,1,0,0,0,1,0,MA,190.0,3.468421052631579,1.0772061804083737,6.0,2.0,4.0,6.0,2.0,0.330992297236067,2207.0,True,>6M,big_up,1,0.0,0.0,0.37181276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37416148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38292634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3960338,0.0
firm_00045,2010-08-30,2010,train,0,5742,0,5742,0,5742,5742,9,4031504.0,1344640.0,1049,4,4,6,1049.0,1,0,0,0,1,0,CA,9.0,3.333333333333333,1.5811388300841895,6.0,2.0,3.0,5.0,2.0,0.696377502383222,1049.0,True,3M-6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33701125,0.0,0.0,0.0,0.3696495,0.0,0.0,0.0,0.0,0.34047034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00048,2011-06-01,2010,train,0,5467,0,5467,0,5467,5467,58,16391177.0,949764.0,2731,6,9,38,2693.0,1,0,0,0,1,0,NJ,58.0,3.6896551724137927,1.3139854541602456,6.0,2.0,5.0,5.0,0.0,0.0,2731.0,True,>6M,flat,1,0.0,0.35051557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32692847,0.0,0.0,0.0,0.0,0.0,0.41436896,0.0,0.0,0.0,0.0,0.37136957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00049,2009-10-14,2010,train,0,6062,0,6062,0,6062,6062,69,23258819.0,1514780.0,2046,6,6,45,2046.0,1,0,0,0,1,0,OH,69.0,3.5942028985507246,1.1671841502435296,6.0,2.0,3.0,5.0,2.0,0.3570381231671554,2046.0,True,>6M,big_up,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30280203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00050,2009-12-21,2010,train,0,5994,0,5994,0,5994,5994,204,76989290.0,4772060.0,2334,9,7,128,2204.0,1,0,0,0,1,0,NH,204.0,3.6176470588235294,1.2400867413412742,7.0,2.0,4.0,5.0,1.0,0.156491002570694,2334.0,True,>6M,small_up,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43829367,0.0,0.0,0.0,0.0,0.0,0.30048788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00053,2011-08-15,2010,train,0,5392,0,5392,0,5392,5392,26,8494498.0,889740.0,2663,4,6,16,2663.0,1,0,0,1,0,0,CA,26.0,3.6538461538461537,1.1642098674142112,7.0,2.0,3.0,5.0,2.0,0.2743146826886969,2663.0,True,>6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36742336,0.0,0.0,0.0,0.0,0.0,0.35031444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00063,2010-04-08,2010,train,0,5886,0,5886,0,5886,5886,18,6150965.0,1498670.0,1945,3,6,12,1945.0,1,0,0,0,0,0,MA,18.0,3.7222222222222223,1.3197840980097757,6.0,2.0,4.0,6.0,2.0,0.3755784061696658,1945.0,True,>6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47902983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44657362,0.0
firm_00068,2009-11-30,2010,train,1,2908,0,6015,0,6015,6015,3,1599882.0,749964.0,486,1,2,1,486.0,1,0,0,0,0,0,NJ,3.0,4.0,1.7320508075688772,5.0,2.0,2.0,5.0,3.0,2.2546296296296298,486.0,True,1.5M-3M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.30236417,0.31782132,0.0,0.0,0.0,0.0,0.30332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050136,0.0,0.0
