firm_id,index_date,index_year,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,n_phase2_pre,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,event_1m,days_to_event_1m
firm_06068,2020-09-01,2020,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,CA,1,164
firm_06069,2020-09-01,2020,2,509630.0,299749.0,0,2,1,2,0,0,1,1,0,0,0,VT,1,1143
firm_06070,2019-09-01,2019,1,146719.0,146719.0,0,1,1,1,0,0,1,0,0,0,0,CO,0,2453
firm_06071,2020-06-01,2020,1,224297.0,224297.0,0,1,1,1,0,0,0,1,0,0,0,CO,0,2179
firm_06072,2020-08-01,2020,1,306492.0,306492.0,0,1,1,1,0,0,1,0,0,0,0,PA,0,2118
firm_06073,2017-09-20,2010,6,2698168.0,1419207.0,4830,5,5,4,2,1,1,0,0,1,0,TX,0,3164
firm_06074,2020-05-07,2020,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,2204
firm_06075,2020-05-15,2020,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,MA,0,2196
firm_06076,2019-12-12,2020,1,49989.0,49989.0,0,1,1,1,0,1,0,0,0,0,0,NY,0,2351
firm_06077,2019-12-12,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,HI,0,2351
firm_06078,2019-08-02,2019,1,49780.0,49780.0,0,1,1,1,0,1,0,0,0,0,0,MA,0,2483
firm_06079,2017-09-15,2013,3,2622491.0,1350635.0,1452,2,3,1,2,0,1,0,0,0,0,KY,0,3169
firm_06080,2020-09-01,2020,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,TX,0,2087
firm_06081,2011-01-14,2011,18,6899823.0,1460000.0,2440,4,8,12,6,1,0,0,0,0,0,MA,0,5605
firm_06082,2020-09-01,2020,1,555358.0,555358.0,0,1,1,1,0,0,1,0,0,0,0,VA,0,2087
firm_06083,2020-07-08,2020,2,899778.0,600139.0,0,2,1,2,0,0,1,0,0,0,0,NC,0,2142
firm_06084,2010-01-29,2010,9,3798238.0,749871.0,2171,4,4,4,5,1,0,0,0,1,0,MA,0,5955
firm_06085,2012-06-21,2012,1,149447.0,149447.0,0,1,1,1,0,1,0,0,0,0,0,CO,0,5081
firm_06086,2020-07-01,2020,1,300000.0,300000.0,0,1,1,1,0,0,1,0,0,0,0,NH,0,2149
firm_06087,2013-08-15,2013,1,149702.0,149702.0,0,1,1,1,0,1,0,0,0,0,0,CO,0,4661
firm_06088,2020-08-01,2020,2,405383.0,353383.0,0,2,1,2,0,0,1,0,0,0,0,NE,0,2118
firm_06089,2011-02-18,2010,7,2129648.0,749999.0,889,4,4,4,3,1,0,0,0,1,0,MT,0,5570
firm_06090,2013-07-12,2013,1,99991.0,99991.0,0,1,1,1,0,1,0,0,0,0,0,VA,1,679
firm_06091,2016-03-01,2013,5,2247071.0,785156.0,4247,4,3,1,4,0,1,0,0,0,0,NC,0,3732
firm_06092,2019-12-12,2020,1,49933.0,49933.0,0,1,1,1,0,1,0,0,0,0,0,FL,0,2351
firm_06093,2018-07-27,2018,1,124793.0,124793.0,0,1,1,1,0,0,0,0,0,1,0,LA,0,2854
firm_06094,2019-12-12,2020,1,49999.0,49999.0,0,1,1,1,0,1,0,0,0,0,0,TX,0,2351
firm_06095,2019-08-16,2019,1,47202.0,47202.0,0,1,1,1,0,1,0,0,0,0,0,CA,1,396
firm_06096,2016-07-01,2016,3,2210903.0,1031728.0,0,2,1,1,2,0,1,0,0,0,0,NH,1,1264
firm_06097,2018-09-20,2018,3,880700.0,472890.0,0,2,1,1,2,0,1,0,0,0,0,CO,0,2799
firm_06098,2018-05-01,2018,2,757643.0,555611.0,0,2,1,1,1,0,1,0,0,0,0,CA,0,2941
firm_06099,2016-07-01,2016,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,CA,1,2784
firm_06100,2010-11-04,2011,1,99965.0,99965.0,0,1,1,1,0,1,0,0,0,0,0,PA,0,5676
firm_06101,2020-06-29,2020,1,199744.0,199744.0,0,1,1,1,0,0,0,0,1,0,0,CA,0,2151
firm_06102,2017-08-02,2017,1,225000.0,225000.0,0,1,1,1,0,0,1,0,0,0,0,MA,0,3213
firm_06103,2020-06-05,2020,1,144000.0,144000.0,0,1,1,1,0,1,0,0,0,0,0,MA,1,1132
firm_06104,2018-09-17,2018,1,99998.0,99998.0,0,1,1,1,0,1,0,0,0,0,0,AR,0,2802
firm_06105,2020-09-01,2020,1,249726.0,249726.0,0,1,1,1,0,0,0,1,0,0,0,VA,0,2087
firm_06106,2020-06-01,2020,1,224998.0,224998.0,0,1,1,1,0,0,0,1,0,0,0,MD,0,2179
firm_06107,2020-08-01,2010,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,WI,0,2118
firm_06108,2018-07-01,2012,2,1048172.0,707370.0,0,2,1,1,1,0,1,0,0,0,0,PA,0,2880
firm_06109,2016-09-30,2012,8,4908810.0,1610358.0,1521,2,2,1,7,0,1,0,0,0,0,CA,0,3519
firm_06110,2020-06-26,2020,1,111410.0,111410.0,0,1,1,1,0,1,0,0,0,0,0,CO,0,2154
firm_06111,2020-09-30,2020,2,361500.0,306500.0,0,2,1,2,0,0,1,0,0,0,0,CT,0,2058
firm_06112,2018-02-15,2018,2,1030695.0,806827.0,0,2,1,1,1,0,1,0,0,0,0,OH,1,2087
firm_06113,2011-11-10,2012,1,149818.0,149818.0,0,1,1,1,0,1,0,0,0,0,0,VA,1,1916
firm_06114,2020-07-16,2020,1,98000.0,98000.0,0,1,1,1,0,0,0,0,0,0,1,CA,0,2134
firm_06115,2020-03-30,2020,1,12953.0,12953.0,0,1,1,1,0,1,0,0,0,0,0,VA,0,2242
firm_06116,2018-04-01,2018,1,202500.0,202500.0,0,1,1,1,0,0,1,0,0,0,0,GA,0,2971
firm_06117,2018-02-01,2018,2,374938.0,299172.0,0,2,1,2,0,0,1,0,0,0,0,NY,0,3030
firm_06118,2016-09-01,2016,1,224836.0,224836.0,0,1,1,1,0,0,1,0,0,0,0,PA,0,3548
firm_06119,2019-01-15,2019,1,150000.0,150000.0,0,1,1,1,0,0,1,0,0,0,0,CA,0,2682
firm_06120,2019-12-12,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,FL,0,2351
firm_06121,2015-01-01,2015,1,150000.0,150000.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,4157
firm_06122,2019-01-01,2019,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,MD,0,2696
firm_06123,2019-12-12,2020,1,49971.0,49971.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2351
firm_06124,2016-09-01,2016,4,3496250.0,1460136.0,0,2,1,1,3,0,1,0,0,0,0,IL,0,3548
firm_06125,2020-05-01,2020,1,224999.0,224999.0,0,1,1,1,0,0,0,1,0,0,0,CO,0,2210
firm_06126,2011-02-18,2011,11,3724949.0,955000.0,2590,2,6,7,4,1,0,0,0,1,0,NY,0,5570
firm_06127,2013-08-01,2013,2,999998.0,499999.0,0,1,1,2,0,0,1,0,0,0,0,CO,0,4675
firm_06128,2020-09-01,2020,1,241820.0,241820.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,2087
firm_06129,2018-06-01,2018,4,2552702.0,809052.0,0,2,1,1,3,0,1,0,0,0,0,CA,0,2910
firm_06130,2019-08-02,2019,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,OH,0,2483
firm_06131,2020-09-30,2020,2,843439.0,670308.0,0,2,1,2,0,0,1,0,0,0,0,CA,0,2058
firm_06132,2011-03-04,2011,1,149998.0,149998.0,0,1,1,1,0,1,0,0,0,0,0,FL,0,5556
firm_06133,2013-06-10,2010,1,149529.0,149529.0,0,1,1,1,0,0,0,0,1,0,0,VA,1,1424
firm_06134,2011-01-01,2011,1,149993.0,149993.0,0,1,1,1,0,0,0,1,0,0,0,WI,0,5618
firm_06135,2020-04-03,2020,1,176562.0,176562.0,0,1,1,1,0,0,0,0,1,0,0,PA,0,2238
firm_06136,2020-03-09,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2263
firm_06137,2010-05-10,2010,6,1145816.0,646843.0,817,2,3,5,1,1,0,0,0,0,0,VA,0,5854
firm_06138,2020-07-10,2020,1,320217.0,320217.0,0,1,1,1,0,0,1,0,0,0,0,NY,0,2140
firm_06139,2020-07-01,2020,1,224936.0,224936.0,0,1,1,1,0,0,0,1,0,0,0,IL,0,2149
firm_06140,2020-02-05,2020,1,111500.0,111500.0,0,1,1,1,0,1,0,0,0,0,0,OH,0,2296
firm_06141,2019-12-12,2020,1,49907.0,49907.0,0,1,1,1,0,1,0,0,0,0,0,VA,0,2351
firm_06142,2020-03-09,2020,1,49435.0,49435.0,0,1,1,1,0,1,0,0,0,0,0,WA,0,2263
firm_06143,2020-08-01,2020,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,TN,0,2118
firm_06144,2020-01-01,2020,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,MI,0,2331
firm_06145,2010-12-08,2010,1,99994.0,99994.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,5642
firm_06146,2020-04-15,2010,2,1621447.0,1477487.0,1674,1,2,1,1,0,1,0,0,0,0,CO,1,555
firm_06147,2019-08-02,2019,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,LA,0,2483
firm_06148,2019-11-22,2020,3,948543.0,749287.0,4650,1,3,2,1,1,0,0,0,0,0,RI,0,2371
firm_06149,2020-08-28,2020,1,124403.0,124403.0,0,1,1,1,0,0,0,0,0,1,0,FL,0,2091
firm_06150,2020-03-01,2020,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,MI,0,2271
firm_06151,2020-06-01,2020,1,217973.0,217973.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,2179
firm_06152,2019-06-26,2019,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,1,WY,0,2520
firm_06153,2017-09-30,2017,1,210672.0,210672.0,0,1,1,1,0,0,1,0,0,0,0,WI,1,192
firm_06154,2019-02-01,2019,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,2665
firm_06155,2020-05-01,2020,1,224997.0,224997.0,0,1,1,1,0,0,1,0,0,0,0,PA,0,2210
firm_06156,2018-07-05,2018,7,5773470.0,2861512.0,1495,3,3,2,5,0,1,0,0,0,0,NY,0,2876
firm_06157,2020-05-01,2020,1,249999.0,249999.0,0,1,1,1,0,0,0,0,1,0,0,MA,1,76
firm_06158,2020-06-05,2020,2,1368769.0,919316.0,0,2,1,2,0,0,1,0,0,0,0,CA,0,2175
firm_06159,2019-07-01,2019,1,150000.0,150000.0,0,1,1,1,0,0,0,0,1,0,0,TN,0,2515
firm_06160,2019-12-12,2020,1,49997.0,49997.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2351
firm_06161,2015-08-20,2015,5,2790996.0,1049889.0,0,2,1,1,4,0,1,0,0,0,0,ID,0,3926
firm_06162,2020-08-18,2020,1,149513.0,149513.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2101
firm_06163,2020-03-09,2020,1,49971.0,49971.0,0,1,1,1,0,1,0,0,0,0,0,CO,0,2263
firm_06164,2020-03-01,2020,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,CA,0,2271
firm_06165,2019-09-12,2019,2,726907.0,500269.0,0,2,1,1,1,0,1,0,0,0,0,OH,0,2442
